id,strength,name,tags
afc72d5c-bf1a-4e69-9945-137f79940433,,"Von Bruenchenhein, Eugene,b",
b36bd674-c468-43a1-9fc2-6e4ff6d75a19,,"Voligamsi, Rinat","surrealism,dark"
fd6a09f4-7d68-40d9-87f4-0b6c86bf053b,2,"Volegov, Vladimir,b","scene,portrait,landscape"
02c14833-3a8c-4675-a37c-2f31739dec82,,"Vogelsang, Elke","animals,photography"
5b03b239-91d5-4c7e-82bc-630e766c456f,,"Viveros, Brian M.","digital,portrait"
41122f9e-bc4e-4e4b-9063-0f27cf0dfebe,,"Vess, Charles","fantasy,comics"
52a603ca-a323-4b1e-934a-dda65a9eb3a5,,Vergvoktre,
7a22be2f-4af0-4405-9f21-45e13520d3e8,,"Ventrue, Eve","digital,dark,character"
b66e8d87-303c-4ec3-a4ce-43ba7dee5fe8,,"Vaughan, Brian K.",comics
47acf834-0084-4536-922d-cbe33f21e67f,,"Varo, Remedios","surrealism,low contrast,detailed"
08a6cb12-1485-43fb-a79e-e8c1c48edc94,,"Van Sciver, Ethan","comics,character"
46f3be1d-38b2-4ef0-b501-1dde5f2a2137,,"van Rysselberghe, Theo","impressionism,landscape,portrait,scene"
4fdabcd0-c094-4e79-9b95-817f14b2518c,,"van Rijn, Rembrandt","realism,baroque,scene,portrait"
d421ed98-ae77-4c05-8355-45ee9bee7d5b,,"Van Hove, Francine","portrait,realism,scene,nudity"
20188eeb-3fbc-43d6-9e48-045dabf26afd,,"van Herpen, Iris","fashion,photography"
3f0a8eb6-b67f-4b7b-92c0-06814cf22d6b,,"van Helten, Guido","street art,portrait"
9994e9d2-86a6-4cbe-b1d5-24aac3e5f35c,,"van Goyen, Jan","baroque,landscape"
d4488f48-7a4a-4ac4-a418-da5b1edff450,,"van Gogh, Vincent","impressionism,pointillism"
5db6edd5-bde5-4986-bb24-75b68f5eabb4,,"van Dongen, Kees","fauvism,portrait"
7929afc7-644d-43aa-968f-5f5789058a8a,,"van Baarle, Lois","digital,character"
8160738d-314f-4060-b430-47fdba812ea3,,"Valls, Dino","portrait,scene,renaissance"
19058775-150c-4a78-a074-07f7075efb46,,"Vacher, Christophe","cloudscape,landscape,fantasy,magical realism"
438c3e06-15fc-486e-9933-ec27f0dd3171,,"Utrillo, Maurice","impressionism,streetscape"
7748f321-1c89-41b7-89b0-748a8669d1fd,3,"Utamaro, Kitagawa",ukiyo-e
43b6e236-2315-4b56-a07f-28f5053d33d6,3,"Ury, Lesser","impressionism,streetscape,cityscape"
e3b5f7a4-c3e1-4846-a017-30d003f83446,3,"Urschel, Jan","dark,digital,landscape,sci-fi"
6df8faae-63c3-4b22-a0d2-7086527b0350,,"Urlich, Philipp",
f24a6177-7426-4664-9e6c-f39af9828a1c,1,"Uno, Aquirax","fantasy,vibrant,collage,portrait"
cc929445-f37f-44a7-a3b3-4f570f35d42c,,"Uminga, Chris",
315d69f2-a730-4ef2-931f-1263b1d9b66a,3,"Uglow, Euan","still life,portrait,figurativism"
4c98309e-feda-4671-8f5f-8f7179171871,,"Ugarte, Jean-Pierre",
d73123b1-0c6d-4cc0-861b-f3c79e0940b4,,"Uccello, Paolo","renaissance,vibrant"
b0813b9c-1341-4753-ae8b-cfde9c325cab,,"Turrell, James","light,vibrant,installation"
d309047c-c729-473b-95d7-58c361c04ea9,,"Turner, J.M.W.","romanticism,landscape,seascape"
a6d4a8f4-e618-4b14-94cb-5fa570c269be,1,"Trotter, Kathryn Morris","impressionism,figurativism"
1f1c6cbf-faf4-41df-861c-2d90953d5603,3,"Treacy, Philip","portrait,photography"
08ae32d4-50aa-41e6-829d-39105af2836f,,"Traquair, Phoebe Anna","art nouveau,colorful"
296d82d0-0544-42cc-a1eb-348852165a76,,"Tran, Ross","portrait,digital,fantasy,vibrant"
9effb944-3cf5-4f58-bdaf-8edf3f15a6c1,,"Toussaint, Fernand","impressionism,cityscape,art nouveau,still life"
f8dd4f38-0d94-4865-ad21-ba7bea3adee0,,"Toth, Alex","cartoon,comics,high contrast"
136ab5f0-789a-4aaa-835f-66817f658201,,"Toriyama, Akira","manga,anime,character"
7d2801a8-0a05-4bde-a6f4-561184b87dac,,"Tooker, George","surrealism,magical realism,scene"
ea130272-b846-41f3-9b2b-7e4ecc67a728,,"Tomino, Yoshiyuki",anime
d9ac81a3-7303-4cb8-ac89-a77d733886fd,,"Tomine, Adrian","cartoon,comics,clean,flat colors"
6cd1b7a6-6491-4226-946c-9f9891209c5b,3,Tom of Finland,"monochromatic,comics,cartoon,character"
107191f3-1694-4337-8060-83c1e57191eb,2,"Tito, Ettore","realism,symbolism,seascape,scene,cityscape"
bcf21029-2a04-4c0b-9ba9-51c84cc0c55a,3,"Tissot, James","impressionism,realism,scene"
bfae5f26-0476-47c6-b469-0ee46310b01f,3,Tintoretto,"dark,renaissance"
c7656b8f-3a25-48f7-942d-391adff36fd1,,"Tiffany, Louis Comfort","stained glass,art nouveau"
